0.02 0.14 0.36 0.3 0.13 0.04 0.0 	0.41519 0.13167 -0.0569 -0.56765 0.49924 0.21288 -0.81949 0.32257 -0.065374 -0.055513 0.11837 0.36933 -0.46424 -0.072383 0.068214 0.0014523 -0.07322 -0.65668 0.11368 -0.91816 0.029319 0.38103 0.34032 -0.21496 -0.26681 -1.6509 -0.71668 -0.41272 0.48465 -0.62432 4.1939 1.4292 -0.45902 -0.51709 0.2626 0.51086 -0.23999 -0.06962 -0.4561 -0.48333 -0.39544 -0.53831 -0.070727 0.54496 0.2351 -0.18746 -0.2242 -0.11806 -0.34499 -0.86949 
0.0 0.14 0.35 0.33 0.14 0.04 0.0 	0.68491 0.32385 -0.11592 -0.35925 0.49889 0.042541 -0.40153 -0.36793 -0.61441 -0.41148 -0.3482 -0.21952 -0.22393 -0.64966 0.85443 0.33582 0.2931 0.16552 -0.55082 -0.61277 -0.14768 0.47551 0.65877 -0.07103 0.56147 -1.2651 -0.74117 0.36365 0.5623 -0.27365 3.8506 0.27645 -0.1009 -0.71568 0.18511 -0.12312 0.56631 -0.22377 -0.016831 0.57539 -0.51761 0.033823 0.19643 0.63498 -0.24866 0.038716 -0.50559 0.17874 -0.1693 0.062375 
0.01 0.09 0.26 0.3 0.21 0.1 0.02 	0.64756 0.16 0.029191 0.35118 0.089119 0.61115 -0.66362 -0.51724 -0.46521 -0.08845 0.0502 0.26329 0.12407 0.043832 0.17283 0.01317 0.14168 -0.15827 -0.10427 -0.9307 0.21646 -0.10753 0.62087 0.36761 -0.48144 -1.28 -0.55152 -0.72023 -0.17097 -0.47993 4.0165 0.47054 0.093614 -0.86341 0.50881 0.33353 -0.35962 -0.16648 -0.31803 0.49003 -0.36697 0.32051 0.70932 0.62878 0.70128 0.1302 -0.73769 0.10325 -0.30964 -0.44213 
0.01 0.07 0.29 0.35 0.2 0.08 0.01 	0.90754 -0.38322 0.67648 -0.20222 0.15156 0.13627 -0.48813 0.48223 -0.095715 0.18306 0.27007 0.41415 -0.48933 -0.0076005 0.79662 1.0989 0.53802 -0.54468 -0.16063 -0.98348 -0.19188 -0.2144 0.19959 -0.31341 0.24101 -2.2662 -0.25926 -0.10898 0.66177 -0.48104 3.6298 0.45397 -0.64484 -0.52244 0.042922 -0.16605 0.097102 0.044836 0.20389 -0.46322 -0.46434 0.32394 0.25984 0.40849 0.20351 0.058722 -0.16408 0.20672 -0.1844 0.071147 
0.0 0.04 0.22 0.37 0.26 0.1 0.01 	0.59049 -0.66076 -0.02551 -0.66217 0.3834 0.31517 -0.82654 0.14879 -0.36427 0.015319 0.51745 0.2739 -0.42352 -0.1069 0.65642 0.13723 -0.011125 0.38913 -0.54748 -0.15923 -0.26029 0.37735 0.83593 0.16307 0.013573 -2.0174 -0.15106 0.49917 0.1841 -0.17101 3.5601 -0.35118 0.24638 -0.94568 0.22149 0.22784 0.56643 0.41457 -0.58431 -0.39573 -0.26413 -0.18254 0.00017507 0.47701 -0.15756 -0.43371 -1.0655 -0.41736 0.086398 -0.38974 
0.01 0.13 0.34 0.3 0.15 0.06 0.01 	0.65102 0.0025814 0.45799 -0.48064 0.38459 0.56754 -0.44011 -0.44394 -0.53883 0.17027 -0.27204 0.10995 -0.06457 -0.27384 0.8027 0.23735 0.073204 -0.41719 0.20823 -0.97234 -0.13032 0.3294 0.85485 -0.15885 -0.036028 -1.4057 -0.8052 -0.36856 0.52335 -0.64427 3.819 0.92642 0.034423 -0.85155 0.39647 0.028646 -0.13414 -0.057982 -0.37909 0.099795 -0.78039 0.11373 0.76026 0.90107 0.09539 -0.046433 -0.7663 0.21574 -0.3297 -0.18945 
0.01 0.05 0.26 0.37 0.22 0.08 0.01 	0.46281 0.00041144 0.32206 0.052119 0.2574 -0.20206 -0.95958 0.080315 0.07142 -0.18973 -0.29623 -1.0933 -0.39617 -0.19416 1.6158 0.20214 -0.89728 -0.62867 -0.7007 0.19352 0.85183 0.11041 0.15913 -0.56004 -0.62643 -1.7449 0.51275 0.025222 -0.40847 0.80248 3.42 0.31542 -0.3881 0.46212 0.28418 -0.60805 0.27313 0.033328 0.02098 -0.49465 -0.86607 0.31712 -0.0041658 -0.38582 0.071257 -0.26801 -0.21712 0.61648 -0.23407 -0.13272 
0.01 0.06 0.17 0.22 0.2 0.21 0.14 	0.95528 -0.01161 0.074285 0.12251 0.70818 0.74145 -0.81545 -0.23535 0.53243 -0.32104 0.32033 -0.24647 0.27388 -0.21989 0.64789 0.16764 -0.082653 -0.19715 -0.52546 -0.30905 -0.58658 0.29096 0.86158 0.13299 0.11463 -1.6544 -0.65505 0.61209 -0.10833 -0.39034 2.9539 -1.21 0.35207 -0.97542 0.45638 0.33947 0.13437 0.32874 0.58773 0.1244 -0.027672 0.30578 0.67546 0.62237 0.5234 -0.020469 -0.42501 -0.26861 0.27789 -0.71997 
0.01 0.1 0.47 0.32 0.09 0.02 0.0 	-0.29329 0.24741 0.38114 0.66685 0.828 0.60294 -0.91257 0.52368 0.14178 -0.30512 0.14389 -0.6499 -1.1039 0.2591 0.51173 -0.69929 -0.04061 -0.87886 -1.2485 0.19964 -0.25412 -0.58236 -0.31967 0.041768 0.088083 -1.3633 0.26619 -0.66122 -0.053167 -0.09926 3.3406 0.24938 0.11115 0.66586 0.4321 -0.30615 0.44014 0.80759 0.017952 -0.51661 -0.25567 -0.26593 -0.16342 -0.53087 -0.62928 0.29726 0.28643 -0.36534 0.26795 -0.17126 
0.02 0.06 0.19 0.29 0.24 0.15 0.04 	0.045752 0.061422 1.1936 0.38875 -0.16884 0.36553 0.51774 0.047422 -0.42848 0.69177 0.31957 0.28587 -0.45329 0.1207 -0.69699 0.57517 0.20169 0.74569 -0.027183 -0.61737 0.26269 -0.39027 -0.37649 -0.69831 -0.05726 -1.9656 0.095767 -0.52099 0.87712 0.88263 3.54 0.39965 -0.74971 -0.49914 -0.019178 0.2373 -0.4485 0.040627 -0.020372 0.18229 -0.24345 0.45404 -0.62969 0.13692 -1.0847 0.79392 -0.73323 -0.45858 -0.30716 -0.73481 
0.01 0.06 0.32 0.38 0.18 0.05 0.0 	0.24444 -0.16053 0.066681 1.0138 1.1697 -0.83291 -0.31749 -0.0014103 0.046096 -1.6956 0.39535 0.97831 -1.5315 0.04192 0.18251 0.43828 0.018746 0.43894 0.05775 -0.076984 0.19547 0.12758 -0.56895 -0.48464 -0.81186 -2.3198 -0.20311 -0.40964 -1.7205 1.0985 2.2903 -0.72011 -0.27931 -0.36026 0.013228 -0.43625 -0.24718 -0.43086 0.78072 0.24224 -0.27596 1.3542 -0.64568 -0.77009 0.66655 0.021232 -1.0171 0.74007 0.19035 1.0739 
0.01 0.07 0.26 0.36 0.21 0.08 0.01 	0.59784 -0.057026 0.97746 -0.58504 0.37386 0.036373 -0.67548 -0.090134 0.33473 0.4612 -0.70586 0.88032 -0.1532 -0.59041 1.0221 -0.20335 0.80479 0.23907 0.51985 -0.34106 1.1747 -0.44956 0.19799 -0.25137 -0.59436 -2.2372 -0.15901 -0.39896 0.4188 -0.67741 3.3433 0.98779 -0.023405 0.14755 -0.46205 0.34545 -0.77937 0.32595 0.6553 -1.0528 -0.19255 0.22296 0.2518 0.71563 -0.47951 -0.95866 -0.79283 0.20869 0.16084 0.24745 
0.01 0.1 0.26 0.32 0.21 0.09 0.01 	0.50795 0.69882 0.41468 0.49973 0.82731 0.58883 -0.43408 0.21703 -1.8181 -0.74274 -0.17991 0.28493 -0.16937 0.87449 0.55294 0.91031 0.21957 -0.4851 0.75489 0.52342 0.5438 0.10108 -0.07919 -0.11478 0.29474 -1.6004 0.52854 0.04084 -0.7198 1.9354 2.819 0.60716 -1.1208 0.057194 0.1431 0.47372 0.59581 0.11381 -0.79955 -0.28087 -0.32897 1.3256 -1.1804 -1.386 0.20202 0.51487 -1.9068 0.65419 1.7246 -0.6013 
0.01 0.08 0.27 0.27 0.17 0.13 0.07 	0.30814 0.47129 -0.27929 0.3776 0.25881 -0.64276 -1.0796 0.90681 -0.57363 -0.23595 -0.90416 -0.86146 -0.49546 0.67405 0.95942 -0.11408 -0.53341 -0.31823 -1.6635 -0.3748 0.22628 1.0046 0.37941 0.056968 0.060677 -1.2871 -0.11612 0.64276 0.68342 -0.65738 2.982 0.96835 -0.51526 -0.21609 0.043189 0.25528 0.81188 -0.33134 0.00071083 -0.03593 -0.49562 0.45779 -0.70741 -0.19088 0.27527 0.28616 -0.10418 -0.5908 -0.22165 0.44646 
0.01 0.07 0.29 0.35 0.2 0.07 0.01 	0.00027751 0.42673 -0.082938 0.27601 0.64721 -0.91728 -0.63471 -0.28023 -0.66653 -0.28436 -0.064249 -0.43626 -0.1083 -0.35818 0.72311 0.65368 -0.29573 0.12007 -0.029959 -0.20594 0.20017 0.16421 0.15202 -0.024855 0.52887 -1.3625 -0.56036 0.17777 -0.091003 0.097549 3.5102 0.10631 0.065602 -0.080777 -0.12553 -0.69932 -0.015068 0.39353 -0.0028195 0.20635 -0.47726 -0.12639 0.29399 0.1 0.00034015 0.62769 -0.45344 0.39615 0.018857 0.17536 
