word	likely
manly	0.1392161244530918
molar	0.18076281814329226
havoc	0.18181806071283826
impel	0.18998602471358886
condo	0.20695978739834883
judge	0.22012176949843812
extra	0.22475993586529264
poise	0.22539878042500472
aorta	0.2328992292867404
excel	0.23309199538086062
lunar	0.2350638504656969
third	0.2391439954473365
slate	0.24179399090387121
taper	0.24446350730463143
chord	0.24631325995831438
probe	0.25556045639156777
rival	0.26250735278681764
usual	0.2632161050565757
spoke	0.2698286119823245
apply	0.27272532627733587
naive	0.2748064633183542
knock	0.28043979169855526
braid	0.2860760427718582
infer	0.28680237466708547
joust	0.2873423164723457
amber	0.2875196275552605
woken	0.2915691606388403
adore	0.29341956230918265
torso	0.29434741484048177
chafe	0.2958523360874881
eject	0.29651397733819546
study	0.30312540375946573
undue	0.30739964926323676
tepid	0.3076905279255558
happy	0.30913599129227143
clean	0.3108245632316574
itchy	0.3121023229791049
feast	0.3145989893230987
drive	0.3160600046697984
prime	0.31712962963864977
axiom	0.32123274671421276
brave	0.3228935531758432
avert	0.32350070533301684
glyph	0.32416001017183943
there	0.3249797660263362
baker	0.3271182806206531
snarl	0.3327965590109524
maple	0.33376604376611974
inane	0.3339620149789856
valet	0.3358707856309033
medal	0.33682476319501586
unite	0.33849613215388563
rainy	0.34461883011666283
spell	0.34620933377512003
begin	0.3470912605667469
stale	0.3510909774670179
dream	0.35147596549995647
photo	0.35152924072554126
aloud	0.35265579597471447
inept	0.35380126527736766
piney	0.35442120367617985
aptly	0.3553166363541294
waltz	0.35542216114368874
libel	0.36179112011637055
sneak	0.3636268306210073
carry	0.3661925438607692
flout	0.3664509320417138
foggy	0.3667714911597911
fault	0.3670798183319217
mummy	0.36810972655656576
spiel	0.37145212422404017
grove	0.37352817756300394
denim	0.37609475161704264
quirk	0.3768344481425454
exist	0.37850306981124315
stein	0.3785846126304242
spade	0.38066643508279296
catch	0.38165201597324483
floor	0.3817679199645338
equal	0.3822305681791414
ionic	0.3839926216996891
valid	0.3851411128255758
enjoy	0.3855799544727369
howdy	0.3873825254793426
vigor	0.3893627400130004
dandy	0.3924976019000482
sloth	0.39307373917345606
marsh	0.39344428996422104
bough	0.39452333910121545
sting	0.3971384997719141
twine	0.3981654747478654
leave	0.4005523934145233
scorn	0.4007368864730056
scald	0.4012325193922486
usurp	0.4018819527899515
soggy	0.40315794662157095
brisk	0.40415546083196396
admit	0.4050304253382221
grate	0.4055478950040474
glory	0.4064279432123619
saint	0.4065468405247708
recap	0.40729589848297076
alike	0.4086088881093813
trice	0.40883608600363397
stick	0.4091590157669265
chute	0.40919939208338985
parer	0.411507507328459
doubt	0.41170369823152303
thyme	0.4117300245063604
alpha	0.4120600156851581
booze	0.4121546407089697
tibia	0.41458795083645017
lofty	0.4149146662684797
theme	0.41569660980117834
class	0.4176174633368698
leery	0.41991649957488697
taunt	0.4210789701143736
whoop	0.42202058236907297
inter	0.42275480009939126
gully	0.4244923980358335
charm	0.4313297927846994
fungi	0.43246806166361473
prize	0.43746903415573934
onset	0.4402088454670934
chief	0.44127403575055213
gauze	0.4415071781611356
ruder	0.4453285398687038
irony	0.4453992377650027
clown	0.44613367518552094
needy	0.4465375408772476
woven	0.44698062602171623
merit	0.4483701874327391
waste	0.4484044074352495
treat	0.4491889776980542
shrug	0.45016199203707014
twang	0.4555957489925383
twice	0.45563223477890935
gruel	0.4562010304589785
poker	0.45673210289344635
khaki	0.4571885526681901
hunky	0.45813481929848227
label	0.45864082136551687
glean	0.4588375906572154
cling	0.45970708426087364
patty	0.4617871771921055
unfit	0.46260934797909137
smear	0.4627922869193651
alien	0.46357242249677416
buggy	0.4651752023884476
rhyme	0.46709098800724247
youth	0.4671380911337143
coyly	0.4691540718090605
quart	0.47090168019485756
cramp	0.4710156428673864
bluff	0.47240026972498156
upset	0.4734819797389634
stomp	0.4740109354517462
motto	0.4749150178102881
cinch	0.4767305846947939
elope	0.47686498130567967
power	0.4795849813545842
midge	0.48024428619340553
tryst	0.48071121213865275
aphid	0.48119673547840613
trite	0.48203813689139735
angry	0.4822059111386887
flock	0.4842258871190307
wacky	0.4844131823105495
roomy	0.48606336353949625
wedge	0.48744074568608037
liver	0.48825150096767783
